time,ID,lat,lon,pm25,PRES2M,RH,WSPD,TMP,TP,SQRT_SEA_DEM_LAT
2020-01-01,19,21.04975,105.74187,116.9491304,102197.203125,74.75,1.1361186504364014,20.811243057250977,0.375,5.922647
2020-01-01,79,21.01525,105.80013,105.1030435,102197.203125,74.75,1.1361186504364014,20.811243057250977,0.375,4.3072305
2020-01-01,300,21.023532,105.853941,116.7391304,102197.203125,74.75,1.1361186504364014,20.811243057250977,0.375,4.8650875
2020-01-01,374,21.0491,105.8831,88.8938125,102225.640625,73.79374694824219,0.6999700665473938,20.69086647033692,0.15,4.9693513
2020-01-01,374,21.0491,105.8831,88.8938125,102225.640625,73.79374694824219,0.6999700665473938,20.69086647033692,0.15,4.9693513
2020-01-02,19,21.04975,105.74187,76.85666667,102025.328125,78.01249694824219,2.7442831993103027,22.17624855041504,0.1875,5.922647
2020-01-02,79,21.01525,105.80013,64.28,102025.328125,78.01249694824219,2.7442831993103027,22.17624855041504,0.1875,4.3072305
2020-01-02,300,21.023532,105.853941,61.375,102025.328125,78.01249694824219,2.7442831993103027,22.17624855041504,0.1875,4.8650875
2020-01-02,374,21.0491,105.8831,59.196525,102054.671875,78.59749603271484,2.5167312622070312,21.95574951171875,0.1875,4.9693513
2020-01-02,374,21.0491,105.8831,59.196525,102054.671875,78.59749603271484,2.5167312622070312,21.95574951171875,0.1875,4.9693513
2020-01-03,19,21.04975,105.74187,48.97375,101829.6796875,77.125,3.8486506938934326,22.586240768432617,0.5625,5.922647
2020-01-03,79,21.01525,105.80013,40.70875,101829.6796875,77.125,3.8486506938934326,22.586240768432617,0.5625,4.3072305
2020-01-03,300,21.023532,105.853941,32.29166667,101829.6796875,77.125,3.8486506938934326,22.586240768432617,0.5625,4.8650875
2020-01-03,374,21.0491,105.8831,29.4752125,101867.4765625,79.13875579833984,3.5269789695739746,22.05411720275879,0.7875,4.9693513
2020-01-03,374,21.0491,105.8831,29.4752125,101867.4765625,79.13875579833984,3.5269789695739746,22.05411720275879,0.7875,4.9693513
2020-01-04,19,21.04975,105.74187,47.22083333,101635.8984375,79.9375,3.850519180297852,22.09499931335449,1.625,5.922647
2020-01-04,79,21.01525,105.80013,41.23875,101635.8984375,79.9375,3.850519180297852,22.09499931335449,1.625,4.3072305
2020-01-04,300,21.023532,105.853941,42.33333333,101635.8984375,79.9375,3.850519180297852,22.09499931335449,1.625,4.8650875
2020-01-04,374,21.0491,105.8831,35.94864167,101674.6015625,81.9737548828125,3.577821731567383,21.485248565673828,1.2875,4.9693513
2020-01-04,374,21.0491,105.8831,35.94864167,101674.6015625,81.9737548828125,3.577821731567383,21.485248565673828,1.2875,4.9693513
2020-01-05,19,21.04975,105.74187,50.37708333,101532.3359375,82.32500457763672,4.113763332366943,21.71498680114746,1.0625,5.922647
2020-01-05,79,21.01525,105.80013,42.74458333,101532.3359375,82.32500457763672,4.113763332366943,21.71498680114746,1.0625,4.3072305
2020-01-05,300,21.023532,105.853941,35.33333333,101532.3359375,82.32500457763672,4.113763332366943,21.71498680114746,1.0625,4.8650875
2020-01-05,374,21.0491,105.8831,33.02042083,101572.4765625,80.93000030517578,4.2055253982543945,21.561994552612305,0.5,4.9693513
2020-01-05,374,21.0491,105.8831,33.02042083,101572.4765625,80.93000030517578,4.2055253982543945,21.561994552612305,0.5,4.9693513
2020-01-06,19,21.04975,105.74187,55.61583333,101407.7890625,73.7874984741211,4.533224582672119,23.463743209838867,0.375,5.922647
2020-01-06,79,21.01525,105.80013,44.66833333,101407.7890625,73.7874984741211,4.533224582672119,23.463743209838867,0.375,4.3072305
2020-01-06,300,21.023532,105.853941,36.91666667,101407.7890625,73.7874984741211,4.533224582672119,23.463743209838867,0.375,4.8650875
2020-01-06,374,21.0491,105.8831,31.38668333,101451.890625,75.48625183105469,3.9568002223968506,23.128496170043945,0.31875,4.9693513
2020-01-06,374,21.0491,105.8831,31.38668333,101451.890625,75.48625183105469,3.9568002223968506,23.128496170043945,0.31875,4.9693513
2020-01-07,19,21.04975,105.74187,69.51958333,101422.5,77.67500305175781,1.6239227056503296,22.85499382019043,0.1875,5.922647
2020-01-07,79,21.01525,105.80013,59.25333333,101422.5,77.67500305175781,1.6239227056503296,22.85499382019043,0.1875,4.3072305
2020-01-07,300,21.023532,105.853941,57.95833333,101422.5,77.67500305175781,1.6239227056503296,22.85499382019043,0.1875,4.8650875
2020-01-07,374,21.0491,105.8831,43.052705,101458.140625,80.83625030517578,1.5605628490447998,22.41399574279785,0.35625,4.9693513
2020-01-07,374,21.0491,105.8831,43.052705,101458.140625,80.83625030517578,1.5605628490447998,22.41399574279785,0.35625,4.9693513
2020-01-08,19,21.04975,105.74187,65.48541667,101429.515625,74.9375,3.774960994720459,23.59124183654785,0.6875,5.922647
2020-01-08,79,21.01525,105.80013,53.65666667,101429.515625,74.9375,3.774960994720459,23.59124183654785,0.6875,4.3072305
2020-01-08,300,21.023532,105.853941,39.58333333,101429.515625,74.9375,3.774960994720459,23.59124183654785,0.6875,4.8650875
2020-01-08,374,21.0491,105.8831,31.60131905,101471.6328125,74.61125183105469,3.540940284729004,23.47086524963379,0.4625,4.9693513
2020-01-08,374,21.0491,105.8831,31.60131905,101471.6328125,74.61125183105469,3.540940284729004,23.47086524963379,0.4625,4.9693513
2020-01-09,19,21.04975,105.74187,50.71708333,101289.8046875,73.625,3.3914904594421387,23.719995498657227,0.25,5.922647
2020-01-09,79,21.01525,105.80013,45.28791667,101289.8046875,73.625,3.3914904594421387,23.719995498657227,0.25,4.3072305
